id,name,content,metadata_contenttype,metadata_url,full_text
1,کلینیک دندان‌پزشکی هما,کلینیک دندانپزشکی هما - افزایش ویزیت حضوری - پروتز دندان آلمانی و سوئیسی - تبلیغات کلیدواژه‌ای برای بازنشستگان - تبلیغات موضوعی در محتوای سیاسی اقتصادی - تبلیغات درون‌اپلیکیشنی آخرین خبر - کمپین ریتارگتینگ مخاطبان غیرفعال - طراحی لندینگ پیج با تخفیف و ضمانت - هدف‌گیری سنی بالای ۵۰ سال - پرداخت قسطی خدمات دندانپزشکی,casestudy,https://www.yektanet.com/wp-content/uploads/2023/08/homa.pdf,"کلینیک دندانپزشکی هما یک مرکز درمانی در حوزه‌ی دندانپزشکی است که با هدف افزایش تعداد مشتریان حضوری و افزایش ویزیت‌های روزانه اقدام به تبلیغات کرده است.

مخاطبین هدف این تبلیغات، زنان و مردان بالای ۵۰ سال هستند که عمدتاً به خدماتی مانند پروتز دندان نیاز دارند.

چالش اصلی این کسب‌وکار، نداشتن لندینگ پیج مناسب و عدم استفاده مؤثر از ظرفیت تبلیغات دیجیتال برای جذب مشتریان جدید بود.

در همین راستا، یکتانت مجموعه‌ای از اقدامات هدفمند را برای این کلینیک انجام داد که شامل موارد زیر است:

طراحی یک لندینگ پیج مؤثر با استفاده از سرویس «لندین» که در آن ویژگی‌هایی مانند تخفیف ۲۰ درصدی، پرداخت قسطی، ارائه پروتزهای آلمانی و سوئیسی،
 و بازپرداخت وجه در صورت نارضایتی به کاربران نمایش داده شد. 
این صفحه با هدف افزایش تماس تلفنی طراحی شده بود و از ویدئوی معرفی، نمونه‌کارها، و نظرات مشتریان استفاده شد.

اجرای کمپین‌های تبلیغات کلیدواژه‌ای، که علاوه بر کلمات مرتبط با دندانپزشکی، از کلیدواژه‌های مورد توجه افراد بالای ۵۰ سال مانند «بازنشسته»، «بیمه» و «سهام عدالت» نیز بهره برد.

اجرای کمپین تبلیغات موضوعی در صفحات با محتوای سیاسی و اقتصادی، زیرا این دسته محتوا بیشتر توسط مخاطبین هدف دنبال می‌شود.

اجرای تبلیغات درون‌اپلیکیشنی در اپلیکیشن «آخرین خبر» به دلیل تطابق پرسونای مخاطبین آن با مخاطبان هدف کلینیک.

اجرای کمپین ریتارگتینگ برای کاربرانی که به لندینگ پیج مراجعه کرده ولی هنوز تماس نگرفته بودند، با هدف بازگرداندن آن‌ها و تبدیلشان به مشتری.

همه این اقدامات در کنار طراحی محتوای تبلیغاتی متنوع، منجر به افزایش چشمگیر ویزیت‌های حضوری کلینیک شد، تا جایی که ظرفیت روزانه کلینیک به حداکثر خود رسید."
2,آکادمی کنکور امروز,استراتژی تبلیغاتی جامع - افزایش لید بدون افزایش CPL - کمپین ریتارگتینگ آموزشی - بهینه‌سازی لندینگ پیج - تبلیغات هدفمند کنکور - دانش‌آموزان پایه نهم تا یازدهم - تحلیل رفتار کاربران - تبلیغات درون اپلیکیشنی - محتواهای تبلیغاتی جذاب - استراتژی تبلیغاتی کنکور,casestudy,https://www.yektanet.com/wp-content/uploads/2023/09/academy-emrooz-case-study.pdf,"اسم و نوع کسب‌و‌کار:
آکادمی امروز، مجموعه‌ای آموزشی در حوزه دروس کنکور.
هدف از تبلیغات:
افزایش تعداد لیدها بدون افزایش هزینه جذب هر لید (CPL).
مخاطبین هدف:
دانش‌آموزان پایه نهم تا یازدهم و اولیای آن‌ها.
چالش‌ها:
افزایش لید با کنترل هزینه‌ها و نیاز به استراتژی مؤثر تبلیغاتی.
اقدامات و کمپین‌های اجرا شده با ذکر جزئیات:
مشاوره و طراحی استراتژی تبلیغاتی:
یکتانت با تحلیل ظرفیت‌های داخلی آکادمی امروز، محصولات آموزشی و مزیت‌های رقابتی آن، استراتژی جامعی طراحی کرد. این استراتژی شامل تعیین گروه‌های هدف، بهینه‌سازی محتوا و مسیر تبلیغاتی کاربران بود.
بهبود لندینگ پیج:
لندینگ‌پیج‌ها به عنوان اولین نقطه تماس کاربر با کسب‌وکار، بهینه‌سازی شدند تا نرخ تبدیل افزایش یابد. همچنین ابزارهای رصد رفتار کاربران برای تحلیل نقاط قوت و ضعف صفحات راه‌اندازی شد.
ایجاد کمپین‌های هدفمند کلیدواژه‌ای، موضوعی و رفتارمحور:
در کمپین‌های کلیدواژه‌ای، عباراتی مانند «کنکور زیست پایه»، «رشته تجربی» و... هدف قرار گرفت.

در کمپین‌های موضوعی و رفتارمحور، علاقه‌مندی‌های نوجوانان مثل سینما، تکنولوژی و ورزش لحاظ شد.

مخاطبین به‌طور دقیق دسته‌بندی و هدف‌گیری شدند تا محتوای تبلیغاتی متناسب با علایق آن‌ها نمایش یابد.

اجرای کمپین‌های ریتارگتینگ:
برای جذب مجدد کاربرانی که در بازدید اول تبدیل به لید نشده بودند، تبلیغات ریتارگتینگ اجرا شد. مثلاً کاربری که روی تبلیغ کلیک کرده اما فرم را پر نکرده بود،
 چند روز بعد در سایت دیگری تبلیغ متفاوت‌تری از آکادمی امروز را می‌دید که او را به پر کردن فرم ترغیب می‌کرد.

کمپین‌های درون اپلیکیشنی:
کمپین‌هایی در اپلیکیشن‌های موبایلی اجرا شد تا حضور برند در مسیرهای مختلف دیجیتال تقویت شود.

محتواهای تبلیغاتی جذاب و هدفمند:
محتوایی با پیام‌هایی مانند:

«می‌خوای زیست رو تو کنکور ۱۰۰ بزنی؟»

«۵۰ ساعت آموزش رایگان زیست کنکور و پایه»

«رایگان ثبت‌نام کن + مشاوره رایگان»
این محتواها در قالب تبلیغات تصویری روی موبایل نمایش داده شدند.

رصد و گزارش‌گیری مداوم:
تمام مراحل کمپین‌ها به‌طور مداوم رصد و تحلیل شد تا اثربخشی آن‌ها بررسی شده و اقدامات بهینه‌سازی لازم انجام شود.

نتیجه:
با این اقدامات، آکادمی امروز توانست تعداد لیدها را دو برابر کند، بدون اینکه هزینه جذب هر لید افزایش پیدا کند"
3,کلینیک پوست و موی رویای طلایی,کاهش هزینه جذب لید - افزایش نرخ پاسخ‌گویی مخاطب - کمپین تبلیغات کاشت ابرو - ویدئوی تبلیغاتی نتیجه‌محور - اپلیکیشن‌های زنانه حوزه زیبایی - تبلیغات درون‌اپلیکیشنی هدفمند - بهینه‌سازی لندینگ پیج زیبایی - کمپین‌های Audience Sharing و Retargeting - تولید محتوای تبلیغاتی انسانی - افزایش نرخ کلیک تبلیغات,casestudy,https://www.yektanet.com/wp-content/uploads/2023/08/royaclinic.pdf,"کلینیک پوست و موی رویای طلایی، با هدف کاهش هزینه جذب لید و افزایش نرخ پاسخ‌گویی مخاطبان، اقدام به اجرای کمپین‌های تبلیغاتی گسترده‌ای با همکاری یکتانت نمود.

هدف از تبلیغات:
کاهش هزینه جذب لید و افزایش نرخ پاسخ‌گویی به لیدهای ورودی.

مخاطبین هدف:
بانوانی که به خدمات زیبایی و به‌ویژه کاشت ابرو علاقه‌مند هستند.

چالش‌ها:
بالا بودن هزینه جذب هر لید (۶۰ هزار تومان)

پایین بودن نرخ پاسخ‌گویی لیدها

اقدامات و کمپین‌های اجرا شده:
ساخت ویدئوهای تبلیغاتی مؤثر:

تولید ویدئوهایی با تمرکز بر نتیجه نهایی (به‌جای تصاویر قبل و بعد).

استفاده از المان‌های انسانی و تمرکز بر ناحیه ابرو برای جلب اعتماد بیشتر.

انتشار این ویدئوها در اپلیکیشن‌هایی با پرسونای زنانه و اپلیکیشن آخرین خبر.

افزایش حجم تبلیغات در اپلیکیشن‌ها:

تمرکز بر اپ‌های دارای کاربران خانم و مرتبط با حوزه زیبایی.

استفاده از تبلیغات درون اپلیکیشنی برای افزایش کیفیت لیدها.

اجرای کمپین‌های Audience Sharing و Retargeting:

همکاری با سایت‌هایی در حوزه زیبایی برای ریتارگت کاربران آن‌ها.

دسته‌بندی کاربران قبلی سایت و لندینگ پیج و ارائه پیشنهادهای شخصی‌سازی‌شده برای بازگرداندن آن‌ها.

بهینه‌سازی لندینگ پیج:

تغییر ظاهر کلی صفحه، کاهش تعداد نمونه‌کارها به ۳ ویدئو و ۳ تصویر باکیفیت.

حذف تصاویر قبل و بعد و استفاده فقط از تصاویر «بعد» برای افزایش وضوح تبلیغات.

افزایش نرخ تبدیل از طریق ساده‌سازی و تمرکز روی نتایج واقعی.

تولید محتوای تبلیغاتی هفتگی:

طراحی محتواهای جذاب و انسانی با رنگ‌بندی مناسب و نگارش مؤثر.

رعایت استانداردهای کیفیت برای افزایش نرخ کلیک.

نتایج:
کاهش ۴۲٪ در هزینه جذب لید (از ۶۰ هزار تومان به ۳۵ هزار تومان)

افزایش ۱۲۵٪ در نرخ پاسخ‌گویی لیدها

افزایش ۲۲۷٪ در نرخ کلیک تبلیغات"
4,"
تبلیغات همسان - Native","
تبلیغات همسان - Native",help,https://www.yektanet.com/help/native/,"اکثر تبلیغات در سایت‌ها از چشم کاربران نادیده گرفته می‌شوند و ابه همین دلیل نوع جدیدی از تبلیغات به نام همسان (native) در دنیا به وجود آمد.

تبلیغات همسان به دلیل موقعیت قرارگیری در صفحه و شکل ظاهری که دارند، احتمال دیده شدن بیشتری دارند.

تبلیغات بومی یا همسان (Native Advertising) نوعی از تبلیغات است که از نظر ظاهر، فرم و محتوا کاملاً با پلتفرمی که در آن منتشر می‌شود (وبلاگ‌ها و وب‌سایت‌های خبری و… ) هم‌خوانی دارد.
انواع تبلیغات همسان

تبلیغات همسان انواع مختلفی دارد که در یکتانت هم به عنوان یک نوع کمپین در پنل مشتریان قابل انتخاب هستند.

 
۱. تبلیغات همسان کلیدواژه‌ای
۲. تبلیغات همسان موضوعی
۳. تبلیغات همسان ریتارگتینگ (هدف‌گیری مجدد)
۴. تبلیغات همسان عادی
۵. تبلیغات همسان رفتار‌محور"
5,تبلیغات کلیدواژه‌ای- Keyword Campaigns,تبلیغات کلیدواژه‌ای- Keyword Campaigns,help,https://www.yektanet.com/help/native/,"در این روش از تبلیغات همسان، در مراحل ساخت کمپین انتخاب می‌کنید که چه عبارت‌ها یا کلیدواژه‌هایی به تبلیغ شما ربط دارند و تبلیغ در صفحه‌هایی که همان عبارت‌ها را دارند نمایش داده می‌شود. این کلید واژه‌ها می‌تواند در عنوان، متا تگ یا متن صفحه باشند.

برای مثال صرافی‌هایی را در نظر بگیرید که برای تبلیغات کلید‌واژه‌هایی مانند «دلار»، «بیت‌کوین» و… را در نظر گرفته است. در این حالت تبلیغات مربوطه تنها در صفحاتی با این عناوین و کلیدواژه‌ها به نمایش درمی‌آید که طبعاً هدفمندتر بوده و اثربخشی بالاتری دارد. در تصویر زیر نمونه‌ای از این تبلیغات را می‌بینید.  

<img src=""https://www.yektanet.com/wp-content/uploads/2022/12/کلیدواژه‌ای.png"" alt=""تبلیغات همسان کلیدواژه‌ای "">"
6,تبلیغات موضوعی - Category Campaigns,تبلیغات موضوعی - Category Campaigns,help,https://www.yektanet.com/help/native/,"این نوع از تبلیغات در صفحه‌هایی از وبسایت‌ها نمایش داده می‌شوند که موضوعی مرتبط با تبلیغ دارند. تناسب موضوع صفحه با تبلیغ باعث می‌شود که تبلیغ بیشتر دیده شود و کلیک بیشتری هم بگیرد.

به‌عنوان مثال فرض کنید شما صاحب کسب‌وکاری در زمینه‌ٔ گردشگری مثل هتل یا اجاره ویلا هستید و قصد دارید تبلیغات شما در صفحاتی با موضوعات مرتبط نمایش بگیرند. برای این کار می‌توانید تبلیغات همسان موضوعی یکتانت را انتخاب کرده و بعد موضوعاتی مانند سفر و گردشگری را انتخاب کنید. همانطور هم که در تصویر زیر می‌بینید، تبلیغات سایت «شب» و «مهمان‌شو» در موضوع مرتبطی با گردشگری به‌صورت تبلیغات همسان نشان داده شده است.

شما با این کمپین افرادی با نیازهای مرتبط با حوزه کسب‌وکار خودتان را هدف می‌گیرید.

https://www.yektanet.com/wp-content/uploads/2022/12/%D9%85%D9%88%D8%B6%D9%88%D8%B9%DB%8C3-768x501.png"
7,تبلیغات ریتارگتینگ (هدف‌گیری مجدد) - Retargeting,تبلیغات ریتارگتینگ (هدف‌گیری مجدد) - Retargeting,help,https://www.yektanet.com/help/native/,"با استفاده از این تبلیغات می‌توانید تبلیغات خود را تنها به افرادی که قبلا از وب‌سایت شما بازدید کرده‌اند نمایش دهید.

مطالعه بیشتر: ریتارگتینگ چیست؟
https://www.yektanet.com/blog/482/%D8%B1%DB%8C%D8%AA%D8%A7%D8%B1%DA%AF%D8%AA%DB%8C%D9%86%DA%AF-%DA%86%DB%8C%D8%B3%D8%AA/

فرض کنید شما صاحب یک فروشگاه اینترنتی هستید و کاربران وب‌سایت شما به دلایل مختلفی سایتتان را ترک کرده و خرید آن‌ها در مرحله‌ای متوقف شده است. با استفاده از این نوع تبلیغات می‌توانید این کاربران را مورد هدف قرار داده، نظرشان را دوباره جلب کنید و در نهایت با ریتارگت شدن، آن‌ها را از مشتریان بالقوه به مشتریان نهایی و بالفعل تبدیل کنید.

این فقط یک مثال از کاربرد ریتارگتینگ بود و می‌توانید از این روش برای هدفگیری مجدد ورودی‌های مختلف سایت استفاده کنی"
8,تبلیغات رفتار‌محور - User Segmentation,تبلیغات رفتار‌محور - User Segmentation,help,https://www.yektanet.com/help/native/,"این تبلیغات تنها به کاربرانی نمایش داده می‌شود که در فضای وب‌سایت الگوی رفتاری مشخصی داشته‌اند. برای مثال اگر شما فروشنده‌ٔ محصولاتی در صنعت زیبایی و سلامت هستید، انتخاب کاربرانی از جنس «سلامت» یا «زیبایی و مد» می‌تواند انتخاب هوشمندانه‌ای باشد و کاربران با این الگوی رفتاری را مورد هدف قرار دهد.  

این تبلیغات برخلاف ۲ نوع قبلی با تمرکز بر رفتار کاربر است و الگوریتم نمایش تبلیغات سعی می‌کند نیازهای کاربران را شناسایی کند تا تبلیغ مرتبطی به آنها نمایش دهد."
9,تبلیغات عادی - Bulk,تبلیغات عادی - Bulk,help,https://www.yektanet.com/help/native/,"این نوع پایه از تبلیغات همسان است و در تمام جایگاه‌های همسان وب‌سایت‌ها (ناشران تبلیغات) و به تمام کاربران وب با عنوان‌هایی مانند «مطالب پیشنهادی»، «پیشنهاد روز» و… نمایش داده می‌شوند.

این نوع کمپین‌های همسان برخلاف انواع بعدی که توضیح می‌دهیم، هدفمند نیستند و برای محصولات یا کسب‌وکارهایی مناسب هستند که می‌خواهید به صورت انبوه تبلیغ کنید.

https://www.yektanet.com/wp-content/uploads/2022/12/%D9%86%DB%8C%D8%AA%DB%8C%D9%88-768x473.png"
10,ریتارگتینگ چیست؟,ریتارگتینگ چیست؟,blog,https://www.yektanet.com/blog/482/%D8%B1%DB%8C%D8%AA%D8%A7%D8%B1%DA%AF%D8%AA%DB%8C%D9%86%DA%AF-%DA%86%DB%8C%D8%B3%D8%AA/,
11,شرکت سدناکو (سدنا) - محصولات خانه‌ی هوشمند,"محصولات خانه هوشمند - ترموستات هوشمند - کلید کولر هوشمند - تب‌سنج غیر تماسی - فروش محصولات سلامت‌محور - کمپین کلیدواژه‌ای سلامت - کمپین همسان ریتارگتینگ - بازار پساکرونا - مخاطبان حوزه سلامت - نرخ تبدیل تبلیغات








",casestudy,https://www.yektanet.com/casestudy/%DA%A9%DB%8C%D8%B3%E2%80%8C%D8%A7%D8%B3%D8%AA%D8%A7%D8%AF%DB%8C-%D8%B3%D8%AF%D9%86%D8%A7%DA%A9%D9%88/,"نام و نوع کسب‌وکار:
شرکت سدناکو (سدنا)، ارائه‌دهنده‌ی محصولات خانه‌ی هوشمند است که شامل ترموستات‌های هوشمند، کلیدهای کولر هوشمند و تب‌سنج‌های غیر تماسی می‌شود. این شرکت در حوزه‌ی فناوری‌های هوشمند خانگی فعالیت می‌کند.

هدف از تبلیغات:
هدف اصلی سدنا از اجرای تبلیغات، افزایش فروش یکی از محصولات خاص خود یعنی تب‌سنج طبی غیر تماسی بوده است. این هدف به ویژه پس از شیوع کرونا و افزایش تقاضا برای محصولات سلامت‌محور اهمیت بیشتری یافت.

مخاطبین هدف:
مخاطبان هدف این تبلیغات، افراد و مجموعه‌هایی هستند که به موضوعاتی نظیر سلامت، پزشکی، پیشگیری از بیماری (مانند کرونا)، بیمارستان‌ها، درمانگاه‌ها و پزشکان علاقه‌مندند یا با آن‌ها در ارتباط‌اند. استفاده از کلیدواژه‌هایی مانند «تب‌سنج»، «ماسک»، «ویروس»، «دکتر» و «درمانگاه» در کمپین‌ها، نشان‌دهنده‌ی تمرکز بر مخاطبان دغدغه‌مند حوزه سلامت است.

چالش‌ها:
چالش اصلی سدنا، رقابت در بازار محصولات سلامت‌محور در دوران پساکرونا و نیاز به افزایش فروش یک محصول خاص (تب‌سنج غیر تماسی) بود. همچنین، باید مخاطبانی که یک بار با تبلیغ مواجه شده بودند، به مرحله خرید نزدیک‌تر می‌شدند.

اقدامات و کمپین‌های اجراشده:
برای دستیابی به اهداف خود، سدنا با همکاری شرکت تبلیغاتی یکتانت سه نوع کمپین اجرا کرد:

    کمپین همسان عادی

    کمپین همسان کلیدواژه‌ای (target شده با کلیدواژه‌های مرتبط با سلامت و پزشکی)

    کمپین همسان ریتارگتینگ – که مؤثرترین بوده و نرخ تبدیل بهتری داشته است."
12, فروشگاه اینترنتی روژاشاپ,"خرید آنلاین محصولات آرایشی - دوران پاندمی کرونا - جذب مشتری هدفمند - کاربران علاقه‌مند به زیبایی و مد - چالش رقابت در بازار آنلاین - افزایش نرخ تبدیل - تبلیغات مبتنی بر محتوا - هدف‌گیری هوشمند با هوش مصنوعی - کمپین بازگشت کاربران - تقویت سهم بازار اینترنتی








",casestudy,https://www.yektanet.com/casestudy/rojashop/,"نام و نوع کسب‌وکار:
روژاشاپ یک فروشگاه اینترنتی در حوزه محصولات آرایشی، بهداشتی و عطر است که با بیش از ۲۵ سال سابقه، ارائه‌دهنده‌ی کالاهای اورجینال و باکیفیت از برندهای معتبر ایرانی و خارجی می‌باشد. این فروشگاه فعالیت خود را از طریق پلتفرم آنلاین نیز گسترش داده است.

هدف از تبلیغات:
هدف اصلی از اجرای تبلیغات دیجیتال، افزایش فروش آنلاین در دوران پاندمی کرونا و جذب مشتریان هدفمند برای محصولات آرایشی و بهداشتی بوده است.

مخاطبین هدف:
مخاطبان هدف روژاشاپ افرادی هستند که به موضوعاتی مانند زیبایی و مد، خانواده، سلامت و خانه‌داری علاقه‌مندند. این افراد عمدتاً از کاربران فضای آنلاین هستند که به خرید اینترنتی محصولات آرایشی و بهداشتی گرایش دارند.

چالش‌ها:
با آغاز پاندمی کرونا و رشد تقاضای خرید آنلاین، روژاشاپ نیاز داشت تا از میان رقابت گسترده، سهم بازار خود را حفظ و تقویت کند. چالش اصلی، جذب ترافیک باکیفیت به وب‌سایت و تبدیل این بازدیدکنندگان به مشتری واقعی بود.

اقدامات و کمپین‌های اجراشده:
برای دستیابی به اهداف ذکرشده، روژاشاپ با همکاری یکتانت دو نوع کمپین تبلیغاتی اجرا کرد:

    کمپین همسان موضوعی:

        نمایش تبلیغات براساس محتوای صفحات وب که با کمک هوش مصنوعی تحلیل می‌شود.

        استفاده از دسته‌بندی‌های «زیبایی و مد»، «خانواده»، و «خانه‌داری و سلامت» برای هدف‌گیری بهتر مخاطبان.

        هدف از این نوع کمپین، جذب ترافیک اولیه به سایت بود.

    کمپین محصول ریتارگتینگ:

        نمایش تبلیغات به افرادی که قبلاً از صفحات محصول در سایت روژاشاپ بازدید کرده بودند.

        تمرکز این کمپین بر افزایش نرخ تبدیل و بازگشت کاربران علاقه‌مند به سایت بود.

نتایج:

    کمپین‌ها موفق عمل کردند؛ به‌گونه‌ای که نرخ تبدیل کمپین محصول ریتارگتینگ با ۰٫۲۹٪، بیش از دو برابر کمپین همسان موضوعی با نرخ ۰٫۱۱٪ بود.

